URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/address-type,5.0.0,active,"2.16.840.1.113883.4.642.1.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,5.0.0,active,"2.16.840.1.113883.4.642.1.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender,ConceptMap/AdministrativeSexToAdministrativeGender"
http://hl7.org/fhir/contact-point-system,5.0.0,active,"2.16.840.1.113883.4.642.1.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,5.0.0,active,"2.16.840.1.113883.4.642.1.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/coverage-kind,5.0.0,active,"2.16.840.1.113883.4.642.4.2077",Kind,Kind,"The nature of the Coverage details which convey who is paying potentially for health services.","ValueSet/coverage-kind"
http://hl7.org/fhir/encounter-diagnosis-use,5.0.0,active,"2.16.840.1.113883.4.642.4.2115",EncounterDiagnosisUse,Encounter Diagnosis Use,"Encounter Condition Use","ValueSet/encounter-diagnosis-use"
http://hl7.org/fhir/encounter-location-status,5.0.0,active,"2.16.840.1.113883.4.642.1.258,2.16.840.1.113883.4.642.2.147,2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,Encounter Location Status,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-reason-use,5.0.0,active,"2.16.840.1.113883.4.642.4.2114",EncounterReasonUse,Encounter Reason Use,"Encounter Reason Use","ValueSet/encounter-reason-use"
http://hl7.org/fhir/encounter-status,5.0.0,active,"2.16.840.1.113883.4.642.4.247,2.16.840.1.113883.4.642.1.242",EncounterStatus,Encounter Status,"Current state of the encounter.","ValueSet/encounter-status"
http://hl7.org/fhir/event-status,5.0.0,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/immunization-status"
http://hl7.org/fhir/fm-status,5.0.0,active,"2.16.840.1.113883.4.642.1.585,2.16.840.1.113883.4.642.4.593",FinancialResourceStatusCodes,Financial Resource Status Codes,"This value set includes Status codes.","ValueSet/fm-status"
http://hl7.org/fhir/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.1.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,5.0.0,active,"2.16.840.1.113883.4.642.1.413,2.16.840.1.113883.4.642.2.234,2.16.840.1.113883.4.642.4.424",LinkType,Link Type,"The type of link between this Patient resource and other Patient/RelatedPerson resource(s).","ValueSet/link-type"
http://hl7.org/fhir/name-use,5.0.0,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use,ValueSet/vs-human-name-codes"
http://hl7.org/fhir/observation-referencerange-normalvalue,5.0.0,active,"2.16.840.1.113883.4.642.4.2099",ObservationReferenceRangeNormalValue,ObservationreferenceRangeNormalValue,"Codes that describe the normal value in the reference range.","ValueSet/observation-referencerange-normalvalue"
http://hl7.org/fhir/observation-status,5.0.0,active,"2.16.840.1.113883.4.642.4.401,2.16.840.1.113883.4.642.1.388,2.16.840.1.113883.4.642.2.219",ObservationStatus,Observation Status,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/observation-triggeredbytype,5.0.0,active,"2.16.840.1.113883.4.642.4.2098",TriggeredBytype,triggered Bytype,"Codes providing the triggeredBy type of observation.","ValueSet/observation-triggeredbytype"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/immunization-vaccine-funding-program,ValueSet/vs-loinc-education-level-attained,ValueSet/observation-codes,ConceptMap/ProprietaryEducationLevelToLOINCEducationLevel"
